I1,I2,I3,C1,C2,C3,M1,M2,M3,D,ID,respiration,aboveground,ace,phos,cello,gluco,belowground,WSA,PH,rack,Lv,remark
1,0,0,0,1,0,1,0,0,0,3,369.8136452,36.1,0.466835444,2.666068039,0.521542722,1.302343499,44.2,54.85893417,5.3,G,3,3
1,0,0,1,0,0,1,0,0,0,3,997.3595142,108.8,0.316390428,3.021665349,0.681105617,1.063703852,6.8,44.76190476,5.5,N,3,3
0,1,0,0,0,1,0,0,1,0,3,942.6063628,106.5,0.434011077,2.685215586,1.001143196,1.378190209,30.1,56.86900958,4.73,Z,3,3
0,1,0,0,0,1,1,0,0,0,3,1203.546925,39.1,0.607250791,2.288587817,0.330067247,1.026705457,51,55.22875817,4.64,Y,3,3
0,0,1,1,0,0,0,1,0,0,3,1016.479999,89,0.40118671,1.71507318,0.530660601,0.480979133,11.2,86.75496689,4.33,N,3,3
0,0,1,0,0,1,1,0,0,1,3,1024.558645,30.1,0.405745648,2.650567642,0.335537975,2.046011236,8.2,33.23353293,4.36,H,3,3
0,0,1,0,1,0,0,1,0,1,3,1011.142353,49.8,0.821520964,2.967869858,0.352861946,2.127407705,1.7,29.32098765,4.54,A,3,3
0,1,0,0,1,0,0,1,0,1,3,1377.36364,0.8,1.674954509,3.688182357,0.617280459,0.974907705,35.9,30.8411215,4.81,F,3,3
1,0,0,0,0,1,0,0,1,1,3,941.0212877,79.1,0.763166535,3.814920887,0.484159415,1.29864366,10.8,37.42138365,5.13,A,3,3
0,0,1,1,0,0,1,0,0,1,3,1497.521208,98.1,0.404833861,2.280381726,0.288125,0.954558587,29.4,49.52076677,4.31,Y,3,3
1,0,0,1,0,0,0,1,0,1,3,899.3896029,0.9,0.266242088,2.85389636,0.227035206,0.749217496,1.2,32.89473684,4.88,A,3,3
1,0,0,0,1,0,0,0,1,1,3,952.0896889,65.3,0.55436709,1.977668117,0.506042326,1.977564205,37.9,33.2278481,5.18,A,3,3
0,1,0,0,0,1,0,1,0,1,3,1443.764602,4.1,0.631869066,1.693190269,0.246182753,1.522483949,0.6,27.95031056,4.67,A,3,3
0,0,1,0,1,0,0,0,1,1,3,1076.483726,20.4,0.620927611,2.391619857,0.604515427,0.847263242,5.1,37.73584906,4.52,A,3,3
0,0,1,0,1,0,1,0,0,1,3,907.253823,115,0.366538766,2.780953324,0.425804984,1.426288122,34.1,31.06796117,4.49,Z,3,3
0,0,1,0,0,1,0,1,0,1,3,849.3173579,1.9,0.669252374,3.093696598,0.241623813,1.666777689,1.1,34.38485804,4.34,A,3,3
0,0,1,1,0,0,0,0,1,1,3,2333.255223,56.7,0.41395174,2.043316851,0.213358386,1.692676565,17.7,34.82428115,4.36,A,3,3
1,0,0,0,1,0,1,0,0,1,3,670.5535697,12.8,0.547984572,3.521325157,0.66195807,1.289394061,1.6,44.29967427,5.15,Y,3,3
0,1,0,1,0,0,0,0,1,1,3,889.0970633,4.5,0.3865981,2.359707279,0.155915744,1.94426565,0.6,25.32051282,4.67,Y,3,3
1,0,0,1,0,0,1,0,0,1,3,1861.890958,2,0.31000791,2.762717563,0.354685522,1.331942215,4.2,35.35031847,4.98,,3,3
0,1,0,0,0,1,0,0,1,1,3,1497.964111,76.7,0.55436709,3.1465803,0.760431171,2.081159711,34.4,29.18032787,4.67,G,3,3
0,1,0,0,0,1,1,0,0,1,3,611.9987647,18.4,0.422157831,3.131079906,0.276271756,1.304193419,6.4,28.88888889,4.6,Y,3,3
0,0,1,1,0,0,0,1,0,1,3,1328.901145,84.4,0.604515427,2.74630538,0.50421875,2.197704655,40,30.34055728,4.36,A,3,3
1,0,1,1,1,0,1,1,0,0,6,909.7712188,32.5,0.685664558,2.032375396,0.214270174,1.013756019,4.5,65.10903427,4.97,N,6,6
0,1,1,1,1,0,1,1,0,0,6,669.8210067,64.8,0.454982198,1.825399524,0.380215585,0.514277689,14.6,46.64536741,4.69,Z,6,6
0,1,1,0,1,1,1,0,1,0,6,807.8308869,25.8,0.536131329,2.156378559,0.586279668,1.026705457,4.7,57.00934579,4.61,F,6,6
